Sno,ID,Subject,Subject Code,Type,Year,Branch,Acad Year,Sem,Credits
459,N230422,Computational Lab,23EC1285,ESC-3,E1,ECE,2025-26,Semester II,1.5
460,N230422,English-Language Communication skills Lab-1,23EG1281,HSC,E1,ECE,2025-26,Semester II,2.5
461,N230422,Signals and Systems,23EC1203,PCC,E1,ECE,2025-26,Semester II,4
462,N230422,Electronic Devices and Circuits,23EC1201,PCC-1,E1,ECE,2025-26,Semester II,4
463,N230422,Electronic Devices and Circuits Lab,23EC1281,PCC-2,E1,ECE,2025-26,Semester II,1.5
464,N220687,Robotics Laboratory,23EE2281,ESC,E2,EEE,2025-26,Semester II,1
465,N220687,Power Systems-I,23EE2201,PCC-1,E2,EEE,2025-26,Semester II,4
466,N220687,Machine Learning,23EE2204,PCC-2,E2,EEE,2025-26,Semester II,3
467,N220687,Control Systems,23EE2202,PCC-3,E2,EEE,2025-26,Semester II,4
468,N220687,Control Systems Lab,23EE2282,PCC-4,E2,EEE,2025-26,Semester II,1.5
469,N220687,Linear Integrated Circuits,23EC2203,PCC-5,E2,EEE,2025-26,Semester II,4
470,N220687,Linear Integrated Circuits Lab,23EC2283,PCC-6,E2,EEE,2025-26,Semester II,1.5
471,N220687,Power Electronics,23EE2203,PCC-7,E2,EEE,2025-26,Semester II,4
472,N220687,Power Electronics Lab,23EE2283,PCC-8,E2,EEE,2025-26,Semester II,1.5
473,N211142,English Language Communication Skills Lab-III,23EG3283,HSC,E3,CHE,2025-26,Semester II,1.5
474,N211142,Enterpreneurship Education Course (IGNITE),23HS3211,OEC,E3,CHE,2025-26,Semester II,3
475,N211142,Process Equipment Design,23CH3201,PCC-1,E3,CHE,2025-26,Semester II,3.5
476,N211142,Plant Design and Economics,23CH3202,PCC-2,E3,CHE,2025-26,Semester II,3
477,N211142,Transport Phenomena,23CH3203,PCC-3,E3,CHE,2025-26,Semester II,4
478,N211142,Chemical Process Dynamics and Control Lab,23CH3281,PCC-4,E3,CHE,2025-26,Semester II,1.5
479,N211142,Mass Transfer Operations Lab,23CH3282,PCC-5,E3,CHE,2025-26,Semester II,1.5
480,N211142,Fuel Technology,23CH3228,PEC,E3,CHE,2025-26,Semester II,3
481,N211142,Summer Internship,23CH3291,SI,E3,CHE,2025-26,Semester II,3
482,N220422,Robotics Laboratory,23EC2285,ESC-1,E2,ECE,2025-26,Semester II,2.5
483,N220422,Foundations to Artificial Intelligence,23EC2205,ESC-2,E2,ECE,2025-26,Semester II,1
484,N220422,Communication Systems-1,23EC2201,PCC-1,E2,ECE,2025-26,Semester II,4
